"speaker","congress","first.name","last.name","state","party","speaker.name","speakerID","stateName","retiring","running","appointeeRunning","specialElection","female","vote.score","speech.score","speech.score.lower","speech.score.upper","vote.score.normalized","speech.score.normalized"
"mr coats",104,"Daniel","Coats","IN","R","Coats (IN)",49,"Indiana",0,0,0,0,0,1.08398785299323,0.777851735577504,0.434813457416496,1.12616770157953,0.943913800063813,1.39758874586517
"mr coburn",109,"Tom","Coburn","OK","R","Coburn (OK)",50,"Oklahoma",0,0,0,0,0,2.23600801081535,0.715363047413216,0.466276090985563,0.957496163094919,1.88500925004029,1.28652096313698
"mr cochran",104,"Thad","Cochran","MS","R","Cochran (MS)",51,"Mississippi",0,1,0,0,0,0.793014537980336,0.0881628092907635,-0.193509281006606,0.367649028403784,0.706215127029411,0.171731361670059
"mr cohen",104,"William S.","Cohen","ME","R","Cohen (ME)",52,"Maine",1,0,0,0,0,0.00224686026032798,0.298400404868044,-0.397259806866953,0.963147023155454,0.0602300212673413,0.545408970735637
"mr coleman",108,"Norm","Coleman","MN","R","Coleman (MN)",53,"Minnesota",0,0,0,0,0,0.405872899902019,0.310311282188949,-0.272122758464029,0.850553217589632,0.38995570082222,0.566579438115308
"ms collins",105,"Susan","Collins","ME","R","Collins (ME)",54,"Maine",0,0,0,0,1,0.186599541044242,-0.43263038776245,-0.652951154427912,-0.212971395705523,0.210829355748339,-0.753929703650335
"mr conrad",104,"Kent","Conrad","ND","D","Conrad (ND)",55,"North Dakota",0,0,0,0,0,-1.00720880643846,0.278526092409274,0.061262070169072,0.497620052548376,-0.764403235740195,0.510084244246909
"mr coons",111,"Christopher","Coons","DE","D","Coons (DE)",56,"Delaware",0,0,0,0,0,-1.07114113344169,-0.850450595475625,-1.2659044540324,-0.411173730226514,-0.816630118786143,-1.4965659377113
"mr corker",110,"Robert","Corker","TN","R","Corker (TN)",57,"Tennessee",0,0,0,0,0,0.933996972336756,0.731041316728904,0.425803017007454,1.03776290531376,0.821384923841177,1.31438761646359
"mr cornyn",108,"John","Cornyn","TX","R","Cornyn (TX)",58,"Texas",0,0,0,0,0,1.33907236082916,0.872783478503742,0.667224805906433,1.07765475394336,1.15229458928343,1.56632101577008
"mr corzine",107,"Jon","Corzine","NJ","D","Corzine (NJ)",59,"New Jersey",0,0,0,0,0,-1.79863818608981,-0.74879828759799,-1.07985636884135,-0.440357811806396,-1.41092889165896,-1.31588849389155
"mr coverdell",104,"Paul","Coverdell","GA","R","Coverdell (GA)",60,"Georgia",0,0,0,0,0,1.11548990278163,0.169703637673205,-0.213161667902173,0.594890016566332,0.969648102992027,0.316662536836478
"mr cowan",113,"William 'Mo'","Cowan","MA","D","Cowan (MA)",61,"Massachusetts",0,0,0,0,0,-1.39095271747324,-0.381538329209028,-2.07398893873427,1.4350217838943,-1.07788702869199,-0.663118361225792
"mr craig",104,"Larry E.","Craig","ID","R","Craig (ID)",62,"Idaho",0,1,0,0,0,1.16976800613421,0.343504056461229,0.128858159162637,0.559330969466268,1.01398836540118,0.625576481409403
"mr crapo",106,"Mike","Crapo","ID","R","Crapo (ID)",63,"Idaho",0,0,0,0,0,1.26234317945956,0.513655291475855,0.0998871020719734,0.921186692470915,1.08961384279037,0.928004344062775
"mr cruz",113,"Ted","Cruz","TX","R","Cruz (TX)",64,"Texas",0,0,0,0,0,2.10800602784935,0.820455383831862,-0.140999657262041,1.80216845106376,1.78044329870745,1.47331273506627
"mr d'amato",104,"Alfonse M.","DAmato","NY","R","DAmato (NY)",65,"New York",0,0,0,0,0,0.4138528002822,-0.116991875635129,-0.594937161777798,0.331841497769598,0.396474551979522,-0.192911850412005
"mr daschle",104,"Tom","Daschle","SD","D","Daschle (SD)",66,"South Dakota",0,0,0,0,0,-1.19888118392849,-0.202433394379939,-0.388595860200547,-0.0180081471359758,-0.920982095161412,-0.344776136872399
"mr dayton",107,"Mark","Dayton","MN","DFL","Dayton (MN)",67,"Minnesota",0,0,0,0,0,-1.54442509546934,-0.334621487283394,-0.760551829666704,0.115318475721842,-1.20325997086537,-0.579728074785638
"mr demint",109,"James","DeMint","SC","R","DeMint (SC)",68,"South Carolina",0,0,0,0,0,2.64602267747461,0.50679836945357,0.201924701591743,0.815282114199993,2.2199538554768,0.915816808242643
"mr dewine",104,"Mike","DeWine","OH","R","DeWine (OH)",69,"Ohio",0,0,0,0,0,0.511301651425271,-0.318956664882002,-0.620864909265923,-0.0362143765409657,0.476081379857909,-0.551885322088071
"mr dodd",104,"Christopher J.","Dodd","CT","D","Dodd (CT)",70,"Connecticut",0,0,0,0,0,-1.33326891401491,-0.556010662892118,-0.716548270813768,-0.381117997994533,-1.03076461976245,-0.97322657150935
"mrs dole",108,"Elizabeth","Dole","NC","R","Dole (NC)",71,"North Carolina",0,0,0,0,1,0.90007025695638,0.396890907270657,-0.427152449440216,1.16459241522838,0.793669890158539,0.720466601852559
"mr dole",104,"Robert","Dole","KS","R","Dole (KS)",72,"Kansas",0,0,0,0,0,1.02549355367088,0.59737698175522,0.222585132679821,0.986037989545593,0.896129289898738,1.07681179671946
"mr domenici",104,"Pete V.","Domenici","NM","R","Domenici (NM)",73,"New Mexico",0,1,0,0,0,0.650711866207264,0.562228795100088,0.365827213924213,0.744599374398063,0.589966816602006,1.01433919130264
"mr donnelly",113,"Joe","Donnelly","IN","D","Donnelly (IN)",74,"Indiana",0,0,0,0,0,-0.562742125808263,-0.356236975356531,-1.41204081132383,0.750615941589418,-0.401314475559136,-0.618147577633245
"mr dorgan",104,"Byron L.","Dorgan","ND","D","Dorgan (ND)",75,"North Dakota",0,0,0,0,0,-1.08951658315475,0.0791929556095437,-0.113183111503423,0.280735534175392,-0.831641186082848,0.155788287986864
"mr durbin",105,"Richard","Durbin","IL","D","Durbin (IL)",76,"Illinois",0,0,0,0,0,-1.68392766563672,-0.166068248176546,-0.304932992042119,-0.0239478049636208,-1.31722085354015,-0.28014049999075
"mr edwards",106,"John","Edwards","NC","D","Edwards (NC)",77,"North Carolina",0,0,0,0,0,-1.05033241441837,-0.278660583031375,-0.726406133566778,0.142046786885537,-0.799631292281488,-0.480262815755145
"mr ensign",107,"John","Ensign","NV","R","Ensign (NV)",78,"Nevada",0,0,0,0,0,1.45650711311214,0.587860786549759,0.293720556728819,0.88166917425742,1.24822807646439,1.05989765221541
"mr enzi",105,"Michael","Enzi","WY","R","Enzi (WY)",79,"Wyoming",0,0,0,0,0,1.47279895378515,0.414464260611173,0.219130116343098,0.600722162622304,1.26153702511863,0.751701589303387
"mr exon",104,"J. James","Exon","NE","D","Exon (NE)",80,"Nebraska",1,0,0,0,0,-0.814651000513553,0.433731860223006,-0.0122761221443911,0.90213549212697,-0.607101062003959,0.785947940607077
"mr faircloth",104,"D. M. 'Lauch'","Faircloth","NC","R","Faircloth (NC)",81,"North Carolina",0,0,0,0,0,1.83288937038396,0.764287587122552,0.321364417575141,1.17186084310389,1.55569806938536,1.3734797440963
"mr feingold",104,"Russell","Feingold","WI","D","Feingold (WI)",82,"Wisconsin",0,0,0,0,0,-1.8075384992495,-0.297044841454345,-0.46744645969502,-0.124449310579294,-1.41819963615165,-0.512939110939531
"mrs feinstein",104,"Dianne","Feinstein","CA","D","Feinstein (CA)",83,"California",0,0,0,0,1,-1.00336424755312,-0.286102081441337,-0.479022553527342,-0.104891991788125,-0.761262581603548,-0.493489381280042
"mrs fischer",113,"Deb","Fischer","NE","R","Fischer (NE)",84,"Nebraska",0,0,0,0,1,1.1588046012372,-0.114912948773951,-0.838561362409723,0.659522185774714,1.00503226303199,-0.189216752887826
"mr fitzgerald",106,"Peter","Fitzgerald","IL","R","Fitzgerald (IL)",85,"Illinois",0,0,0,0,0,0.744392531327518,0.364856681765389,-0.553172679768526,1.31394228353982,0.666495380010228,0.663528770337664
"mr flake",113,"Jeff","Flake","AZ","R","Flake (AZ)",86,"Arizona",0,0,0,0,0,0.823556531950002,1.43597836378835,0.557715454707851,2.18619218091162,0.731165151873072,2.56734710529152
"mr ford",104,"Wendell H.","Ford","KY","D","Ford (KY)",87,"Kentucky",0,0,0,0,0,-0.979593696566807,0.444417126474522,-0.0395932580743254,0.942118937035836,-0.741844208387806,0.804939999254494
